Season,Volume,Episodes,Release date,Release_Date
Season_1,1,1–3,"June 29, 2016",2016-06-29
Season_1,2,4–6,"July 13, 2016",2016-07-13
Season_1,3,7–9,"August 17, 2016",2016-08-17
Season_1,4,10–11,"September 14, 2016",2016-09-14
Season_1,5,12–13,"October 12, 2016",2016-10-12
Season_2,1,14–17,"July 19, 2017",2017-07-19
Season_2,2,18–20,"August 9, 2017",2017-08-09
Season_2,3,20–23,"September 13, 2017",2017-09-13
Season_2,4,24–26,"October 18, 2017",2017-10-18
Season_2,5,27–29,"November 15, 2017",2017-11-15
Season_2,6,30–32,"December 13, 2017",2017-12-13
Season_2,7,33–35,"January 17, 2018",2018-01-17
Season_2,8,36–38,"February 14, 2018",2018-02-14
Season_3,1,39–42,"July 18, 2018",2018-07-18
Season_3,2,43–45,"August 15, 2018",2018-08-15
Season_3,3,46–48,"September 19, 2018",2018-09-19
Season_3,4,49–51,"October 17, 2018",2018-10-17
Season_3,5,52–54,"November 14, 2018",2018-11-14
Season_3,6,55–57,"December 19, 2018",2018-12-19
Season_3,7,58–60,"January 16, 2019",2019-01-16
Season_3,8,61–63,"February 13, 2019",2019-02-13
Season_4,1,64–68,"January 22, 2020",2020-01-22
Season_4,2,69–72,"February 19, 2020",2020-02-19
Season_4,3,73–76,"March 18, 2020",2020-03-18
Season_4,4,77–80,"April 15, 2020",2020-04-15
Season_4,5,81–84,"May 20, 2020",2020-05-20
Season_4,6,85–88,"August 19, 2020",2020-08-19
Season_5,1,89–95,"July 21, 2021",2021-07-21
Season_5,2,96–101,"September 22, 2021",2021-09-22
Season_5,3,102–107,"November 24, 2021",2021-11-24
Season_5,4,108–113,"January 19, 2022",2022-01-19
Season_6,1,114–120,"January 18, 2023",2023-01-18
Season_6,2,121–126,"March 15, 2023",2023-03-15
Season_6,3,127–132,"May 17, 2023",2023-05-17
Season_6,4,133–138,"July 19, 2023",2023-07-19
