,Volume,Volume,Episodes,Release date,Ref.,Unnamed: 5_level_0,Unnamed: 6_level_0
,Season 1,Season 1.1,Season 1,Season 1,Season 1,Season 1,Season 1
0,,Season One (Limited Edition),1–13,"May 15, 2017",[106],,
1,,Season One,1–13,"June 10, 2019",[107],,
2,Season 2,Season 2,Season 2,Season 2,Season 2,Season 2,Season 2
3,,Season Two Part One,13.5–25,"April 2, 2018",[108],,
4,,Season Two Part Two,26–38,"June 11, 2018",[109],,
5,,Complete Season 2,13.5–38,"September 21, 2020",[110],,
6,Season 3,Season 3,Season 3,Season 3,Season 3,Season 3,Season 3
7,,Season Three Part One,39–50,"May 13, 2019",[111],,
8,,Season Three Part Two,51–63,"September 9, 2019",[112],,
