,Volume,Volume,Episodes,Release date,Ref.,Unnamed: 5_level_0,Unnamed: 6_level_0
,Season 1,Season 1.1,Season 1,Season 1,Season 1,Season 1,Season 1
0,,1,1–3,"June 29, 2016",[59],,
1,,2,4–6,"July 13, 2016",[60],,
2,,3,7–9,"August 17, 2016",[61],,
3,,4,10–11,"September 14, 2016",[62],,
4,,5,12–13,"October 12, 2016",[63],,
5,Season 2,Season 2,Season 2,Season 2,Season 2,Season 2,Season 2
6,,1,14–17,"July 19, 2017",[64],,
7,,2,18–20,"August 9, 2017",[65],,
8,,3,20–23,"September 13, 2017",[66],,
9,,4,24–26,"October 18, 2017",[67],,
10,,5,27–29,"November 15, 2017",[68],,
11,,6,30–32,"December 13, 2017",[69],,
12,,7,33–35,"January 17, 2018",[70],,
13,,8,36–38,"February 14, 2018",[71],,
14,Season 3,Season 3,Season 3,Season 3,Season 3,Season 3,Season 3
15,,1,39–42,"July 18, 2018",[72],,
16,,2,43–45,"August 15, 2018",[73],,
17,,3,46–48,"September 19, 2018",[74],,
18,,4,49–51,"October 17, 2018",[75],,
19,,5,52–54,"November 14, 2018",[76],,
20,,6,55–57,"December 19, 2018",[77],,
21,,7,58–60,"January 16, 2019",[78],,
22,,8,61–63,"February 13, 2019",[79],,
23,Season 4,Season 4,Season 4,Season 4,Season 4,Season 4,Season 4
24,,1,64–68,"January 22, 2020",[80],,
25,,2,69–72,"February 19, 2020",[81],,
26,,3,73–76,"March 18, 2020",[82],,
27,,4,77–80,"April 15, 2020",[83],,
28,,5,81–84,"May 20, 2020",[84],,
29,,6,85–88,"August 19, 2020",[85],,
30,Season 5,Season 5,Season 5,Season 5,Season 5,Season 5,Season 5
31,,1,89–95,"July 21, 2021",[86],,
32,,2,96–101,"September 22, 2021",[87],,
33,,3,102–107,"November 24, 2021",[88],,
34,,4,108–113,"January 19, 2022",[89],,
35,Season 6,Season 6,Season 6,Season 6,Season 6,Season 6,Season 6
36,,1,114–120,"January 18, 2023",[90],,
37,,2,121–126,"March 15, 2023",[91],,
38,,3,127–132,"May 17, 2023",[92],,
39,,4,133–138,"July 19, 2023",[93],,
