No.,Title,Original release date,English release date,Original_Release_Date,English_Release_Date
1,Izuku Midoriya: OriginMidoriya Izuku: Orijin (緑谷出久：オリジン),"November 4, 2014[16] .mw-parser-output cite.citation{font-style:inherit;word-wrap:break-word}.mw-parser-output .citation q{quotes:""\""""""\""""""'""""'""}.mw-parser-output .citation:target{background-color:rgba(0,127,255,0.133)}.mw-parser-output .id-lock-free a,.mw-parser-output .citation .cs1-lock-free a{background:url(""//upload.wikimedia.org/wikipedia/commons/6/65/Lock-green.svg"")right 0.1em center/9px no-repeat}.mw-parser-output .id-lock-limited a,.mw-parser-output .id-lock-registration a,.mw-parser-output .citation .cs1-lock-limited a,.mw-parser-output .citation .cs1-lock-registration a{background:url(""//upload.wikimedia.org/wikipedia/commons/d/d6/Lock-gray-alt-2.svg"")right 0.1em center/9px no-repeat}.mw-parser-output .id-lock-subscription a,.mw-parser-output .citation .cs1-lock-subscription a{background:url(""//upload.wikimedia.org/wikipedia/commons/a/aa/Lock-red-alt-2.svg"")right 0.1em center/9px no-repeat}.mw-parser-output .cs1-ws-icon a{background:url(""//upload.wikimedia.org/wikipedia/commons/4/4c/Wikisource-logo.svg"")right 0.1em center/12px no-repeat}.mw-parser-output .cs1-code{color:inherit;background:inherit;border:none;padding:inherit}.mw-parser-output .cs1-hidden-error{display:none;color:#d33}.mw-parser-output .cs1-visible-error{color:#d33}.mw-parser-output .cs1-maint{display:none;color:#3a3;margin-left:0.3em}.mw-parser-output .cs1-format{font-size:95%}.mw-parser-output .cs1-kern-left{padding-left:0.2em}.mw-parser-output .cs1-kern-right{padding-right:0.2em}.mw-parser-output .citation .mw-selflink{font-weight:inherit}978-4-08-880264-0","August 4, 2015[17]978-1-4215-8269-6",2014-11-04,2015-08-04
2,"Rage, You Damned NerdTakere Kusonādo (猛れクソナード)","January 5, 2015[18] 978-4-08-880297-8","November 3, 2015[19]978-1-4215-8270-2",2015-01-05,2015-11-03
3,All MightŌrumaito (オールマイト),"April 3, 2015[20] 978-4-08-880335-7","February 2, 2016[21]978-1-4215-8510-9",2015-04-03,2016-02-02
4,The Boy Born With EverythingSubete wo Motte Umareta Otoko no Ko (すべてを持って生まれた男の子),"June 4, 2015[22] 978-4-08-880420-0","May 3, 2016[23]978-1-4215-8511-6",2015-06-04,2016-05-03
5,Shoto Todoroki: OriginTodoroki Shōto: Origin (轟焦凍：オリジン),"August 4, 2015[24] 978-4-08-880449-1","August 2, 2016[25]978-1-4215-8702-8",2015-08-04,2016-08-02
6,StrugglingUgomeku (蠢く),"November 4, 2015[26] 978-4-08-880488-0","November 1, 2016[27]978-1-4215-8866-7",2015-11-04,2016-11-01
7,Katsuki Bakugo: OriginBakugō Katsuki: Origin (爆豪勝己：オリジン),"February 4, 2016[28] 978-4-08-880607-5","February 7, 2017[29]978-1-4215-9040-0",2016-02-04,2017-02-07
8,Yaoyorozu RisingYaoyorozu: Raijingu (八百万：ライジング),"April 4, 2016[30] 978-4-08-880654-9","May 2, 2017[31]978-1-4215-9167-4",2016-04-04,2017-05-02
9,My HeroBoku no Hīrō (僕のヒーロー),"June 3, 2016[32] 978-4-08-880689-1","August 1, 2017[33]978-1-4215-9340-1",2016-06-03,2017-08-01
10,All For OneŌru Fō Wan (オール・フォー・ワン),"September 2, 2016[34] 978-4-08-880779-9","November 7, 2017[35]978-1-4215-9437-8",2016-09-02,2017-11-07
11,"End of the Beginning, Beginning of the EndHajimari no Owari Owari no Hajimari (始まりの終わり 終わりの始まり)","November 4, 2016[36] 978-4-08-880809-3","February 6, 2018[37]978-1-4215-9583-2",2016-11-04,2018-02-06
12,The TestZa Shiken (THE 試験),"February 3, 2017[38] 978-4-08-881004-1","April 3, 2018[39]978-1-4215-9701-0",2017-02-03,2018-04-03
13,"A Talk About Your QuirkTemee no ""Kosei"" no Hanashida (てめェの""個性""の話だ)","April 4, 2017[41] 978-4-08-881049-2","June 5, 2018[42]978-1-4215-9803-1",2017-04-04,2018-06-05
14,OverhaulŌbāhōru (オーバーホール),"June 2, 2017[43] 978-4-08-881175-8","August 7, 2018[44]978-1-4215-9947-2",2017-06-02,2018-08-07
15,Fighting FateAragau Unmei (抗う運命),"September 4, 2017[45] 978-4-08-881202-1","October 2, 2018[46]978-1-9747-0100-1",2017-09-04,2018-10-02
16,"Red RiotReddo Raiotto (.mw-parser-output .templateruby>rt{font-feature-settings:""ruby""1;font-size:85%}.mw-parser-output .templateruby.large{font-size:250%}.mw-parser-output .templateruby.large>rt{font-size:50%}烈怒頼雄斗(レッドライオット))","November 2, 2017[47] 978-4-08-881221-2","December 4, 2018[48]978-1-9747-0255-8",2017-11-02,2018-12-04
17,LemillionRumirion (ルミリオン),"February 2, 2018[49] 978-4-08-881320-2","February 5, 2019[50]978-1-9747-0256-5",2018-02-02,2019-02-05
18,Bright FutureAkarui Mirai (明るい将来),"April 4, 2018[51] 978-4-08-881380-6","April 2, 2019[52]978-1-9747-0437-8",2018-04-04,2019-04-02
19,School FestivalBunkasai (文化祭),"July 4, 2018[53] 978-4-08-881512-1","June 4, 2019[54]978-1-9747-0460-6",2018-07-04,2019-06-04
20,School Festival Start!!Kaisai Bunkasai!! (開催文化祭!!),"September 4, 2018[55] 978-4-08-881566-4","August 6, 2019[56]978-1-9747-0773-7",2018-09-04,2019-08-06
21,Why He Gets Back UpKare wa Naze Tachi Tsuzuketa ka (彼は何故立ち続けたか),"December 4, 2018[57] 978-4-08-881624-1","October 1, 2019[58]978-1-9747-0950-2",2018-12-04,2019-10-01
22,That Which is InheritedUketsugu Mono (受け継ぐモノ),"February 4, 2019[59] 978-4-08-881723-1","December 3, 2019[60]978-1-9747-0965-6",2019-02-04,2019-12-03
23,Our BrawlBokura no Dairansen (ぼくらの大乱戦),"May 2, 2019[61] 978-4-08-881797-2","February 4, 2020[62]978-1-9747-0966-3",2019-05-02,2020-02-04
24,All It Takes Is One Bad Day,"August 2, 2019[63] 978-4-08-881880-1","June 2, 2020[64]978-1-9747-1120-8",2019-08-02,2020-06-02
25,Tomura Shigaraki: OriginShigaraki Tomura: Orijin (死柄木弔：オリジン),"December 4, 2019[65] 978-4-08-882074-3","October 6, 2020[66]978-1-9747-1762-0",2019-12-04,2020-10-06
26,"The High, Deep Blue SkySora, Takaku Gunjō (空、高く群青)","March 4, 2020[67] 978-4-08-882225-9","January 5, 2021[68]978-1-9747-1977-8",2020-03-04,2021-01-05
27,One's JusticeWanzu Jasutisu (ワンズ ジャスティス),"July 3, 2020[69] 978-4-08-882332-4","April 6, 2021[70]978-1-9747-2101-6",2020-07-03,2021-04-06
28,The Thrill of DestructionHametsu no Borutēji (破滅のボルテージ),"September 4, 2020[71] 978-4-08-882378-2","June 1, 2021[72]978-1-9747-2288-4",2020-09-04,2021-06-01
29,Katsuki Bakugo RisingBakugō Katsuki: Raijingu (爆豪勝己 : ライジング),"January 4, 2021[73] 978-4-08-882474-1","September 7, 2021[74]978-1-9747-2510-6",2021-01-04,2021-09-07
30,Dabi's DanceDabi Dansu (ダビダンス),"April 2, 2021[75] 978-4-08-882590-8","March 1, 2022[76]978-1-9747-2715-5",2021-04-02,2022-03-01
31,Izuku Midoriya and Toshinori YagiMidoriya Izuku to Yagi Toshinori (緑みどり谷や出いず久くと八や木ぎ俊とし典のり),"August 4, 2021[77] 978-4-08-882729-2","July 5, 2022[78]978-1-9747-3212-8",2021-08-04,2022-07-05
32,Your TurnZa Nekusuto (THE(ザ) NEXT(ネクスト)),"October 4, 2021[79] 978-4-08-882788-9","October 4, 2022[80]978-1-9747-3236-4",2021-10-04,2022-10-04
33,From Class A to One For AllĒ-Gumi kara Wan Fō Ōru e (A組からOFA(ワン・フォー・オール)へ),"February 4, 2022[81] 978-4-08-882846-6","February 7, 2023[82]978-1-9747-3474-0",2022-02-04,2023-02-07
34,United States of AmericaAmerika (アメリカ),"May 2, 2022[83] 978-4-08-883066-7","May 2, 2023[84]978-1-9747-3663-8",2022-05-02,2023-05-02
35,Battle Flame,"July 4, 2022[85] 978-4-08-883161-9","September 5, 2023",2022-07-04,2023-09-05
36,Two FlashfiresFutatsu no Kakushaku (二つの赫灼),"October 4, 2022[86] 978-4-08-883261-6","December 5, 2023",2022-10-04,2023-12-05
37,"Those Who Defend, Those Who ViolateFusegu Mono to Okasu Mono (禦ぐ者と侵す者)","February 3, 2023[87] 978-4-08-883428-3",—,2023-02-03,
