No.,Title,Original release date,English release date
1,Izuku Midoriya: OriginMidoriya Izuku: Orijin (緑谷出久：オリジン),"November 4, 2014[16] .mw-parser-output cite.citation{font-style:inherit;word-wrap:break-word}.mw-parser-output .citation q{quotes:""\""""""\""""""'""""'""}.mw-parser-output .citation:target{background-color:rgba(0,127,255,0.133)}.mw-parser-output .id-lock-free a,.mw-parser-output .citation .cs1-lock-free a{background:url(""//upload.wikimedia.org/wikipedia/commons/6/65/Lock-green.svg"")right 0.1em center/9px no-repeat}.mw-parser-output .id-lock-limited a,.mw-parser-output .id-lock-registration a,.mw-parser-output .citation .cs1-lock-limited a,.mw-parser-output .citation .cs1-lock-registration a{background:url(""//upload.wikimedia.org/wikipedia/commons/d/d6/Lock-gray-alt-2.svg"")right 0.1em center/9px no-repeat}.mw-parser-output .id-lock-subscription a,.mw-parser-output .citation .cs1-lock-subscription a{background:url(""//upload.wikimedia.org/wikipedia/commons/a/aa/Lock-red-alt-2.svg"")right 0.1em center/9px no-repeat}.mw-parser-output .cs1-ws-icon a{background:url(""//upload.wikimedia.org/wikipedia/commons/4/4c/Wikisource-logo.svg"")right 0.1em center/12px no-repeat}.mw-parser-output .cs1-code{color:inherit;background:inherit;border:none;padding:inherit}.mw-parser-output .cs1-hidden-error{display:none;color:#d33}.mw-parser-output .cs1-visible-error{color:#d33}.mw-parser-output .cs1-maint{display:none;color:#3a3;margin-left:0.3em}.mw-parser-output .cs1-format{font-size:95%}.mw-parser-output .cs1-kern-left{padding-left:0.2em}.mw-parser-output .cs1-kern-right{padding-right:0.2em}.mw-parser-output .citation .mw-selflink{font-weight:inherit}978-4-08-880264-0","August 4, 2015[17]978-1-4215-8269-6"
"""Izuku Midoriya: Origin"" (緑谷出久：オリジン, Midoriya Izuku: Orijin)""Roaring Muscles"" (うなれ筋肉, Unare Kinniku)""Entrance Exam"" (入試, Nyūshi)""Starting Line"" (スタート ライン, Sutāto Rain)""Smashing into Academia"" (はりさけろ入学, Harisakero Nyūgaku)""What I Can Do For Now"" (今 僕に出来ることを, Ima, Boku ni Dekiru Koto o)""Costume Change?"" (服着よう？, Fuku Kiyō?)","""Izuku Midoriya: Origin"" (緑谷出久：オリジン, Midoriya Izuku: Orijin)""Roaring Muscles"" (うなれ筋肉, Unare Kinniku)""Entrance Exam"" (入試, Nyūshi)""Starting Line"" (スタート ライン, Sutāto Rain)""Smashing into Academia"" (はりさけろ入学, Harisakero Nyūgaku)""What I Can Do For Now"" (今 僕に出来ることを, Ima, Boku ni Dekiru Koto o)""Costume Change?"" (服着よう？, Fuku Kiyō?)","""Izuku Midoriya: Origin"" (緑谷出久：オリジン, Midoriya Izuku: Orijin)""Roaring Muscles"" (うなれ筋肉, Unare Kinniku)""Entrance Exam"" (入試, Nyūshi)""Starting Line"" (スタート ライン, Sutāto Rain)""Smashing into Academia"" (はりさけろ入学, Harisakero Nyūgaku)""What I Can Do For Now"" (今 僕に出来ることを, Ima, Boku ni Dekiru Koto o)""Costume Change?"" (服着よう？, Fuku Kiyō?)","""Izuku Midoriya: Origin"" (緑谷出久：オリジン, Midoriya Izuku: Orijin)""Roaring Muscles"" (うなれ筋肉, Unare Kinniku)""Entrance Exam"" (入試, Nyūshi)""Starting Line"" (スタート ライン, Sutāto Rain)""Smashing into Academia"" (はりさけろ入学, Harisakero Nyūgaku)""What I Can Do For Now"" (今 僕に出来ることを, Ima, Boku ni Dekiru Koto o)""Costume Change?"" (服着よう？, Fuku Kiyō?)"
,,,
"""Izuku Midoriya: Origin"" (緑谷出久：オリジン, Midoriya Izuku: Orijin)""Roaring Muscles"" (うなれ筋肉, Unare Kinniku)""Entrance Exam"" (入試, Nyūshi)""Starting Line"" (スタート ライン, Sutāto Rain)""Smashing into Academia"" (はりさけろ入学, Harisakero Nyūgaku)""What I Can Do For Now"" (今 僕に出来ることを, Ima, Boku ni Dekiru Koto o)""Costume Change?"" (服着よう？, Fuku Kiyō?)",,,
"In a world where most of the population is gifted with special powers known as ""Quirks"", a young boy named Izuku Midoriya, nicknamed ""Deku"" by his friend-turned-bully Katsuki Bakugo for lacking a Quirk, dreams of becoming a hero like his childhood idol All Might. Izuku's life changes forever when he meets All Might while attempting to save Bakugo on his own from a villain, learning of the debilitating injury his idol suffers from and that All Might has decided to make him the inheritor of his Quirk ""One For All"". Receiving All Might's Quirk after training his body to withstand it and taking Bakugo's insulting nickname as his hero name, Izuku passes the entrance exams for the prestigious U.A. High School for heroes in training and is placed in Shota Aizawa's Class 1-A alongside a furious Bakugo.","In a world where most of the population is gifted with special powers known as ""Quirks"", a young boy named Izuku Midoriya, nicknamed ""Deku"" by his friend-turned-bully Katsuki Bakugo for lacking a Quirk, dreams of becoming a hero like his childhood idol All Might. Izuku's life changes forever when he meets All Might while attempting to save Bakugo on his own from a villain, learning of the debilitating injury his idol suffers from and that All Might has decided to make him the inheritor of his Quirk ""One For All"". Receiving All Might's Quirk after training his body to withstand it and taking Bakugo's insulting nickname as his hero name, Izuku passes the entrance exams for the prestigious U.A. High School for heroes in training and is placed in Shota Aizawa's Class 1-A alongside a furious Bakugo.","In a world where most of the population is gifted with special powers known as ""Quirks"", a young boy named Izuku Midoriya, nicknamed ""Deku"" by his friend-turned-bully Katsuki Bakugo for lacking a Quirk, dreams of becoming a hero like his childhood idol All Might. Izuku's life changes forever when he meets All Might while attempting to save Bakugo on his own from a villain, learning of the debilitating injury his idol suffers from and that All Might has decided to make him the inheritor of his Quirk ""One For All"". Receiving All Might's Quirk after training his body to withstand it and taking Bakugo's insulting nickname as his hero name, Izuku passes the entrance exams for the prestigious U.A. High School for heroes in training and is placed in Shota Aizawa's Class 1-A alongside a furious Bakugo.","In a world where most of the population is gifted with special powers known as ""Quirks"", a young boy named Izuku Midoriya, nicknamed ""Deku"" by his friend-turned-bully Katsuki Bakugo for lacking a Quirk, dreams of becoming a hero like his childhood idol All Might. Izuku's life changes forever when he meets All Might while attempting to save Bakugo on his own from a villain, learning of the debilitating injury his idol suffers from and that All Might has decided to make him the inheritor of his Quirk ""One For All"". Receiving All Might's Quirk after training his body to withstand it and taking Bakugo's insulting nickname as his hero name, Izuku passes the entrance exams for the prestigious U.A. High School for heroes in training and is placed in Shota Aizawa's Class 1-A alongside a furious Bakugo."
2,"Rage, You Damned NerdTakere Kusonādo (猛れクソナード)","January 5, 2015[18] 978-4-08-880297-8","November 3, 2015[19]978-1-4215-8270-2"
"""Rage, You Damned Nerd"" (猛れクソナード, Takere Kusonādo)""Deku vs. Kacchan"" (デクvsかっちゃん)""Breaking Bakugo"" (折れろ爆豪, Orero Bakugō)""Bakugo's Starting Line"" (スタートライン、爆豪の。, Sutāto Rain, Bakugō no.)""Yeah, Just Do Your Best, Ida!"" (いいぞガンバレ飯田くん！, Ii zo Ganbare Iida-kun!)""Rescue Training"" (救助訓れ, Kyūjo Kunre)""Encounter with the Unknown"" (未知との遭遇, Michi to no Sōgū)""Vs."" (ＶＳ, Bui Esu)""Know Your Enemies"" (思い知れ敵, Omoishire Teki)""Game Over"" (ゲームオーバー, Gēmu Ōbā)","""Rage, You Damned Nerd"" (猛れクソナード, Takere Kusonādo)""Deku vs. Kacchan"" (デクvsかっちゃん)""Breaking Bakugo"" (折れろ爆豪, Orero Bakugō)""Bakugo's Starting Line"" (スタートライン、爆豪の。, Sutāto Rain, Bakugō no.)""Yeah, Just Do Your Best, Ida!"" (いいぞガンバレ飯田くん！, Ii zo Ganbare Iida-kun!)""Rescue Training"" (救助訓れ, Kyūjo Kunre)""Encounter with the Unknown"" (未知との遭遇, Michi to no Sōgū)""Vs."" (ＶＳ, Bui Esu)""Know Your Enemies"" (思い知れ敵, Omoishire Teki)""Game Over"" (ゲームオーバー, Gēmu Ōbā)","""Rage, You Damned Nerd"" (猛れクソナード, Takere Kusonādo)""Deku vs. Kacchan"" (デクvsかっちゃん)""Breaking Bakugo"" (折れろ爆豪, Orero Bakugō)""Bakugo's Starting Line"" (スタートライン、爆豪の。, Sutāto Rain, Bakugō no.)""Yeah, Just Do Your Best, Ida!"" (いいぞガンバレ飯田くん！, Ii zo Ganbare Iida-kun!)""Rescue Training"" (救助訓れ, Kyūjo Kunre)""Encounter with the Unknown"" (未知との遭遇, Michi to no Sōgū)""Vs."" (ＶＳ, Bui Esu)""Know Your Enemies"" (思い知れ敵, Omoishire Teki)""Game Over"" (ゲームオーバー, Gēmu Ōbā)","""Rage, You Damned Nerd"" (猛れクソナード, Takere Kusonādo)""Deku vs. Kacchan"" (デクvsかっちゃん)""Breaking Bakugo"" (折れろ爆豪, Orero Bakugō)""Bakugo's Starting Line"" (スタートライン、爆豪の。, Sutāto Rain, Bakugō no.)""Yeah, Just Do Your Best, Ida!"" (いいぞガンバレ飯田くん！, Ii zo Ganbare Iida-kun!)""Rescue Training"" (救助訓れ, Kyūjo Kunre)""Encounter with the Unknown"" (未知との遭遇, Michi to no Sōgū)""Vs."" (ＶＳ, Bui Esu)""Know Your Enemies"" (思い知れ敵, Omoishire Teki)""Game Over"" (ゲームオーバー, Gēmu Ōbā)"
,,,
"""Rage, You Damned Nerd"" (猛れクソナード, Takere Kusonādo)""Deku vs. Kacchan"" (デクvsかっちゃん)""Breaking Bakugo"" (折れろ爆豪, Orero Bakugō)""Bakugo's Starting Line"" (スタートライン、爆豪の。, Sutāto Rain, Bakugō no.)""Yeah, Just Do Your Best, Ida!"" (いいぞガンバレ飯田くん！, Ii zo Ganbare Iida-kun!)""Rescue Training"" (救助訓れ, Kyūjo Kunre)""Encounter with the Unknown"" (未知との遭遇, Michi to no Sōgū)""Vs."" (ＶＳ, Bui Esu)""Know Your Enemies"" (思い知れ敵, Omoishire Teki)""Game Over"" (ゲームオーバー, Gēmu Ōbā)",,,
"Following a wardrobe change into their hero costumes, Class 1-A are assigned to a training battle between teams of two to test their combat abilities. Izuku is paired with Ochako Uraraka, a girl with a gravity manipulation Quirk whom he befriended during the entrance exams. Their opponents are Tenya Iida and Bakugo, the latter going all-out with his ""Explosion"" Quirk on Izuku. After Izuku and Uraraka manage to win, Bakugo realizes he has a long way to go from seeing the abilities of their other classmates, while Izuku starts to earn some popularity among his classmates. After All Might joins the U.A. faculty and Iida becomes the class representative, Class 1-A are then assigned to another field exercise which is interrupted by a group of villains led by Tomura Shigaraki, forcing All Might to come to the students' aid.","Following a wardrobe change into their hero costumes, Class 1-A are assigned to a training battle between teams of two to test their combat abilities. Izuku is paired with Ochako Uraraka, a girl with a gravity manipulation Quirk whom he befriended during the entrance exams. Their opponents are Tenya Iida and Bakugo, the latter going all-out with his ""Explosion"" Quirk on Izuku. After Izuku and Uraraka manage to win, Bakugo realizes he has a long way to go from seeing the abilities of their other classmates, while Izuku starts to earn some popularity among his classmates. After All Might joins the U.A. faculty and Iida becomes the class representative, Class 1-A are then assigned to another field exercise which is interrupted by a group of villains led by Tomura Shigaraki, forcing All Might to come to the students' aid.","Following a wardrobe change into their hero costumes, Class 1-A are assigned to a training battle between teams of two to test their combat abilities. Izuku is paired with Ochako Uraraka, a girl with a gravity manipulation Quirk whom he befriended during the entrance exams. Their opponents are Tenya Iida and Bakugo, the latter going all-out with his ""Explosion"" Quirk on Izuku. After Izuku and Uraraka manage to win, Bakugo realizes he has a long way to go from seeing the abilities of their other classmates, while Izuku starts to earn some popularity among his classmates. After All Might joins the U.A. faculty and Iida becomes the class representative, Class 1-A are then assigned to another field exercise which is interrupted by a group of villains led by Tomura Shigaraki, forcing All Might to come to the students' aid.","Following a wardrobe change into their hero costumes, Class 1-A are assigned to a training battle between teams of two to test their combat abilities. Izuku is paired with Ochako Uraraka, a girl with a gravity manipulation Quirk whom he befriended during the entrance exams. Their opponents are Tenya Iida and Bakugo, the latter going all-out with his ""Explosion"" Quirk on Izuku. After Izuku and Uraraka manage to win, Bakugo realizes he has a long way to go from seeing the abilities of their other classmates, while Izuku starts to earn some popularity among his classmates. After All Might joins the U.A. faculty and Iida becomes the class representative, Class 1-A are then assigned to another field exercise which is interrupted by a group of villains led by Tomura Shigaraki, forcing All Might to come to the students' aid."
