No.overall,No. inseason,Title,Storyboarded by,Directed by,Written by,Original air date,English air date,Original_Air_Date,English_Air_Date
1,1,"""Izuku Midoriya: Origin""Transcription: ""Midoriya Izuku: Orijin"" (Japanese: 緑谷出久：オリジン)",Kenji Nagasaki,Takurō Tsukada,Yōsuke Kuroda,"April 3, 2016","May 5, 2018",2016-04-03,2018-05-05
2,2,"""What It Takes to Be a Hero""Transcription: ""Hīrō no Jōken"" (Japanese: ヒーローの条件)",Kenji Nagasaki,Daisuke Tsukushi,Yōsuke Kuroda,"April 10, 2016","May 12, 2018",2016-04-10,2018-05-12
3,3,"""Roaring Muscles""Transcription: ""Unare kin'niku"" (Japanese: うなれ筋肉)",Katsumi Terahigashi,Yoshifumi Sasahara,Yōsuke Kuroda,"April 17, 2016","May 19, 2018",2016-04-17,2018-05-19
4,4,"""Start Line""Transcription: ""Sutaatorain"" (Japanese: スタートライン)",Tōru Yoshida,Masato Miyoshi,Yōsuke Kuroda,"April 24, 2016","June 2, 2018[b]",2016-04-24,2018-06-02
5,5,"""What I Can Do For Now""Transcription: ""Ima Boku ni Dekiru Koto wo"" (Japanese: 今 僕に出来ることを)",Katsuyuki Kodera,Satoshi Nakagawa,Yōsuke Kuroda,"May 1, 2016","June 9, 2018",2016-05-01,2018-06-09
6,6,"""Rage, You Damned Nerd""Transcription: ""Takere Kusonādo"" (Japanese: 猛れクソナード)",Kō Matsuo,Takurō Tsukada,Yōsuke Kuroda,"May 8, 2016","June 16, 2018",2016-05-08,2018-06-16
7,7,"""Deku vs. Kacchan""Transcription: ""Deku bāsasu Kacchan"" (Japanese: デクvsかっちゃん)",Takayuki Tanaka,Geisei Morita,Yōsuke Kuroda,"May 15, 2016","June 23, 2018",2016-05-15,2018-06-23
8,8,"""Bakugo's Start Line""Transcription: ""Sutāto Rain, Bakugō no."" (Japanese: スタートライン、爆豪の。)",Satomi Nakamura,Yoshifumi Sasahara,Yōsuke Kuroda,"May 22, 2016","June 30, 2018",2016-05-22,2018-06-30
9,9,"""Yeah, Just Do Your Best, Ida!""Transcription: ""Ii zo Ganbare Īda-kun!"" (Japanese: いいぞガンバレ飯田くん！)",Katsuyuki Kodera,Masashi Abe,Yōsuke Kuroda,"May 29, 2016","July 7, 2018",2016-05-29,2018-07-07
10,10,"""Encounter with the Unknown""Transcription: ""Michi to no Sōgū"" (Japanese: 未知との遭遇)",Shinji Ishihira,Takurō Tsukada,Yōsuke Kuroda,"June 5, 2016","July 14, 2018",2016-06-05,2018-07-14
11,11,"""Game Over""Transcription: ""Gēmu Ōbā"" (Japanese: ゲームオーバー)",Takahiro Natori,Takahiro Natori,Yōsuke Kuroda,"June 12, 2016","July 21, 2018",2016-06-12,2018-07-21
12,12,"""All Might""Transcription: ""Ōrumaito"" (Japanese: オールマイト)","Tōru Yoshida,Hakuyu Go","Tsuyoshi Tobita,Hakuyu Go",Yōsuke Kuroda,"June 19, 2016","July 28, 2018",2016-06-19,2018-07-28
13,13,"""In Each of Our Hearts""Transcription: ""Onoono no Mune ni"" (Japanese: 各々の胸に)",Katsuyuki Kodera,Tomo Ōkubo,Yōsuke Kuroda,"June 26, 2016","August 4, 2018",2016-06-26,2018-08-04
