,No.overall,No. inseason,Title,Storyboarded by [a],Directed by [a],Written by [a],Original air date,English air date,Viewership rating [25]
0,13.5,0,"""Hero Notebook""Transcription: ""Hīrō Nōto"" (Japanese: ヒーローノート)",,Nobutaka Yoda,,"March 25, 2017",,3.3%
1,14.0,1,"""That's the Idea, Ochaco""Transcription: ""Sou iu Koto ne Ochako-san"" (Japanese: そういうことね お茶子さん)",Kenji Nagasaki,Tetsuya Miyanishi[c],Yōsuke Kuroda,"April 1, 2017","August 11, 2018",3.4%
2,15.0,2,"""Roaring Sports Festival""Transcription: ""Unare Taiikusai"" (Japanese: うなれ体育祭)",Kō Matsuo,Tomo Ōkubo,Yōsuke Kuroda,"April 8, 2017","August 18, 2018",3.5%
3,16.0,3,"""In Their Own Quirky Ways""Transcription: ""Minna Koseiteki de ii ne"" (Japanese: みんな個性的でいいね)",Shinji Ishihira,Hitomi Ezoe,Yōsuke Kuroda,"April 15, 2017","August 25, 2018",3.9%
4,17.0,4,"""Strategy, Strategy, Strategy""Transcription: ""Saku Saku Saku"" (Japanese: 策策策)",Kō Matsuo,Takudai Kakuchi,Yōsuke Kuroda,"April 22, 2017","September 8, 2018[d]",
5,18.0,5,"""Cavalry Battle Finale""Transcription: ""Kibasen Kecchaku"" (Japanese: 騎馬戦決着)",Ken Ōtsuka,Tetsuya Miyanishi,Yōsuke Kuroda,"April 29, 2017","September 15, 2018",
6,19.0,6,"""The Boy Born with Everything""Transcription: ""Subete o Motte Umareta Otokonoko"" (Japanese: 全てを持って生まれた男の子)",Seiji Mizushima,Yōhei Fukui,Yōsuke Kuroda,"May 6, 2017","September 22, 2018",3.5%
7,20.0,7,"""Victory or Defeat""Transcription: ""Kachimake"" (Japanese: 勝ち負け)",Tomo Ōkubo,Tomo Ōkubo,Yōsuke Kuroda,"May 13, 2017","September 29, 2018",3.4%
8,21.0,8,"""Battle on, Challengers!""Transcription: ""Furue! Charenjā"" (Japanese: 奮え！チャレンジャー)",Kō Matsuo,Satoshi Takafuji,Yōsuke Kuroda,"May 20, 2017","October 6, 2018",3.0%
9,22.0,9,"""Bakugo vs. Uraraka""Transcription: ""Bakugō vs. Uraraka"" (Japanese: 爆豪vs麗日)",Shinji Ishihira,Hitomi Ezoe,Yōsuke Kuroda,"May 27, 2017","October 13, 2018",
